Puesto,Ciudad,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Índice de Costo de Vida,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Índice de Clima,Año
,"Tel Aviv-Yafo, Israel",15155,9222,6857,7641,8106,1890,4233,5153,8090,2016
,"Houston, Texas, Estados Unidos",14992,13845,4066,6676,7519,328,3800,6972,6262,2016
,"Miami, Florida, Estados Unidos",14987,13210,3930,6019,7998,595,4550,3913,4819,2016
,"Durban, Sudáfrica",14894,11996,2010,4322,3335,300,3870,5361,7676,2016
,"Johannesburgo, Sudáfrica",14852,13000,1664,6030,3758,297,4482,7368,9220,2016
,"Dubai, Emiratos Árabes Unidos",14382,12965,7716,5969,7012,557,3268,5811,836,2016
,"Brasilia, Brasil",14323,6833,3474,4141,4069,1475,3082,3266,8408,2016
,"Breslavia, Polonia",14197,8007,6589,5667,3876,1016,4471,5657,6461,2016
,"Vilna, Lituania",14138,6220,6203,6922,4675,1316,2989,2544,2442,2016
,"París, Francia",14115,11252,4593,7480,8161,1799,3700,6475,7846,2016
,"Turín, Italia",14048,9957,4046,6855,6812,1232,2770,7878,9063,2016
,"Cracovia (Cracovia), Polonia",13968,8100,6434,6572,3851,1228,3170,6972,6225,2016
,"Curitiba, Brasil",13946,4879,3484,4934,3834,1415,3538,3744,9451,2016
,"Hyderabad, India",13810,9458,5731,7345,2406,673,4245,8371,6161,2016
,"Milán, Italia",13806,9329,5018,7492,7385,1696,3922,6308,7815,2016
,"Bangalore, India",13804,11387,5000,5841,2590,819,4892,8351,7524,2016
,"Atenas, Grecia",13801,6466,5133,5270,5600,969,3546,6274,9169,2016
,"Sofía, Bulgaria",13756,6596,5085,5314,3760,887,3144,5833,7099,2016
,"Ankara, Turquía",13717,8187,5382,6691,4402,622,3820,6651,5841,2016
,"Budapest, Hungría",13690,6056,5888,5185,4255,1010,3444,5269,6689,2016
,"Pune, India",13589,10911,5336,6889,2655,1018,4945,8150,6511,2016
,"Doha, Catar",13569,14401,7718,7016,7000,723,3356,8277,926,2016
,"Santiago de Chile, Chile",13525,6885,5314,6231,4609,947,3500,7810,8893,2016
,"Buenos Aires, Argentina",13274,7378,3780,7638,6784,1276,4650,6374,9170,2016
,"Sarajevo, Bosnia y Herzegovina",13180,5885,4905,6310,3597,1265,2327,6953,7267,2016
,"Estambul, Turquía",13051,6018,5356,7175,4868,1170,5927,6381,8913,2016
,"Belgrado, Serbia",12977,4759,5935,5721,3655,2021,3103,6129,8416,2016
,"Londres, Reino Unido",12801,9485,5163,7379,9482,3351,4586,5427,9263,2016
,"Tiflis, Georgia",12624,3075,7780,5676,2957,1574,3470,7464,8221,2016
,"Montevideo, Uruguay",12482,5204,4235,6545,5704,1392,5229,5671,9186,2016
,"Bucarest, Rumania",12366,5996,6974,5249,3742,1151,3890,7239,6102,2016
,"Minsk, Bielorrusia",12328,4011,7525,6004,4051,2213,3108,3967,3563,2016
,"Nueva York, Nueva York, Estados Unidos",12161,10000,4911,5734,10000,2160,4343,6138,7672,2016
,"Almaty, Kazajistán",11987,6177,5031,6636,3131,1305,2433,7208,4600,2016
,"Roma, Italia",11969,8949,4413,5525,7002,2021,4643,7277,9135,2016
,"Amán, Jordania",11946,5030,5074,6849,5513,946,5129,7789,8926,2016
,"Skopje, Macedonia del Norte",11360,4604,5773,6419,3478,1604,4408,8059,7881,2016
,"Chisináu, Moldavia",11077,3211,5339,5258,2593,1868,3530,6322,6771,2016
,"Ciudad de México, México",10942,6478,3396,6458,3916,1084,4709,8442,7839,2016
,"Porto Alegre, Brasil",10901,5904,2401,5174,4161,1394,4018,6519,7702,2016
,"Hong Kong, Hong Kong, China)",10833,10232,7915,7430,8148,3757,4640,6717,3990,2016
,"Beirut, Líbano",10598,6542,4885,7194,6637,1505,3957,9299,7342,2016
,"Chennai, India",10446,10059,5493,7034,2489,1240,3638,7655,-954,2016
,"Bogotá, Colombia",10082,4138,4066,7092,3243,1998,4737,7481,7121,2016
,"Lima, Perú",9960,5369,2992,6537,4170,1420,3950,8859,7672,2016
,"Shanghái, China",9760,8307,6818,5800,6049,3023,4950,8651,6366,2016
,"Singapur, Singapur",9309,11050,8419,6906,8367,2317,4343,3883,-6663,2016
,"Kiev (Kiev), Ucrania",9057,3379,5856,5525,2977,2648,3570,7770,5551,2016
,"San Petersburgo, Rusia",8994,5757,5521,5984,4226,1538,5195,7000,2370,2016
,"Teherán, Irán",8724,4708,4287,4825,4427,1557,5378,8748,7461,2016
,"Moscú, Rusia",8462,6453,5358,5577,4433,2344,5652,6354,2527,2016
,"Pekín, China",8438,8573,6342,5556,5139,3345,4680,8909,4536,2016
,"Sao Paulo, Brasil",8400,4509,2410,5341,4290,2067,4619,9022,9006,2016
,"El Cairo, Egipto",8236,3961,4173,4644,3773,1038,5345,9910,7559,2016
,"Delhi, India",7768,8534,3972,6434,2874,1821,5339,9414,2275,2016
,"Karachi, Pakistán",7510,5076,3030,5520,2859,1110,4060,8858,2747,2016
,"Davao, Filipinas",7287,4208,7334,7188,3459,2656,2892,6719,-3330,2016
,"Colombo, Sri Lanka",7129,2695,5214,7944,3812,2111,5288,6162,-216,2016
,"Calcuta, India",6287,8059,5131,5051,2480,1014,7147,8163,-1993,2016
,"Yakarta, Indonesia",5941,3746,4956,5819,4392,2262,4875,8288,1481,2016
,"Río de Janeiro, Brasil",5588,4457,2281,3901,4500,2477,5735,7910,5245,2016
,"Bombay, India",5462,8325,4901,6151,2893,3525,6884,8962,1484,2016
,"Bangkok, Tailandia",5149,5032,5473,8225,4868,2226,5073,7329,-4535,2016
,"Kuala Lumpur, Malasia",4323,9665,2684,6005,4232,965,4635,7489,-8332,2016
,"Manila, Filipinas",4110,4651,5079,6386,4146,1579,6064,9608,-1997,2016
,"Daca, Bangladés",2984,4319,2964,3754,3864,1161,6388,9112,-1049,2016
,"Ciudad Ho Chi Minh, Vietnam",892,2501,4139,4394,4246,3169,3323,9400,-3979,2016
,"Canberra, Australia",22299,14165,7391,8103,7754,585,2330,1471,7957,2017
,"Raleigh, Carolina del Norte, Estados Unidos",21792,14698,7138,7616,7269,260,3067,2000,7757,2017
,"Wellington, Nueva Zelanda",21366,12031,7015,6953,7730,581,2507,1115,8779,2017
,"Victoria, Canadá",20278,11814,6563,6790,7378,538,2730,1250,7535,2017
,"Edimburgo, Reino Unido",20047,10017,7097,8063,7204,709,2059,1557,6968,2017
,"Adelaida, Australia",19984,11082,6628,7329,8025,595,2992,2198,8935,2017
,"Eindhoven, Países Bajos",19638,11679,7463,8737,7028,512,3036,2053,5090,2017
,"Viena, Austria",19578,9850,7819,8105,6859,1368,2555,1897,7537,2017
,"San Diego, California, Estados Unidos",19478,12892,6344,7468,7793,583,4309,3457,9527,2017
,"Melbourne, Australia",19371,12742,5898,7515,8031,761,3590,2963,8915,2017
,"Brisbane, Australia",19269,11886,6397,7968,7980,697,4243,2170,7979,2017
,"Zúrich, Suiza",19205,13450,8186,7364,13004,1039,3377,1406,6105,2017
,"Múnich, Alemania",19186,12350,8428,8273,7182,1232,3358,1742,4462,2017
,"Dallas, Texas, Estados Unidos",19144,16348,5650,6812,7020,231,3997,4387,7226,2017
,"Sacramento, California, Estados Unidos",18898,12217,5337,7134,8025,382,2268,4339,9006,2017
,"Bursa, Turquía",18848,6707,7862,8654,3532,462,3765,3008,7658,2017
,"Salt Lake City, Utah, Estados Unidos",18812,15254,7431,6907,6846,304,3800,5427,6847,2017
,"Luxemburgo, Luxemburgo",18765,11713,7555,7454,7984,1189,3350,2039,6283,2017
,"Cork, Irlanda",18733,11680,6756,6196,7419,605,3950,1851,7006,2017
,"Portland, Oregon, Estados Unidos",18675,11783,5592,7070,8060,519,2971,2248,6906,2017
,"Perth, Australia",18643,11365,5490,7149,8573,647,3665,2784,9086,2017
,"Columbus, Ohio, Estados Unidos",18620,12068,5553,6908,7170,264,2600,2491,5823,2017
,"Copenhague, Dinamarca",18409,10215,7877,7003,8796,830,3088,2455,6707,2017
,"Ottawa, Canadá",18354,12626,7773,6901,6846,599,3783,1576,3135,2017
,"Boston, Massachusetts, Estados Unidos",18353,13175,6425,7339,8940,755,4762,2458,6996,2017
,"San José, California, Estados Unidos",18282,15290,4903,6348,8275,579,3343,5585,9606,2017
,"Austin, Texas, Estados Unidos",18179,12685,6527,7156,7407,455,4028,3634,6706,2017
,"Denver, Colorado, Estados Unidos",18071,13995,6356,7781,8260,411,3647,3787,5186,2017
,"Ginebra, Suiza",17904,12111,7252,6885,13279,1119,2300,2874,7040,2017
,"Leeds, Reino Unido",17797,10622,5664,7907,6546,468,3300,3849,7093,2017
,"Gotemburgo, Suecia",17788,11208,5408,6349,7601,1026,2073,2053,6025,2017
,"Seattle, Washington, Estados Unidos",17779,11976,6053,7325,9054,600,4338,3138,7409,2017
,"Hamilton, Canadá",17767,13023,5191,8001,6151,583,3825,4143,6499,2017
,"Mineápolis, Estados Unidos",17763,11976,5318,7956,8292,323,3431,1937,4241,2017
,"Vancouver, Canadá",17737,9128,6419,7331,7270,1312,4332,2553,9156,2017
,"Tampa, Florida, Estados Unidos",17622,10020,5539,6882,7575,375,3208,2327,6274,2017
,"Ámsterdam, Países Bajos",17619,9041,6740,7278,7801,1036,2786,3208,7700,2017
,"Glasgow, Reino Unido",17559,10345,5275,8745,6891,500,4511,2995,6832,2017
,"Sídney, Australia",17477,10923,5976,7200,8603,1240,4230,2868,8456,2017
,"Helsinki, Finlandia",17473,11060,7285,7464,7835,1031,3597,1804,4043,2017
,"Berlín, Alemania",17473,11611,6328,7870,6418,884,3242,4215,6230,2017
,"Halifax, Canadá",17411,9486,5421,7533,7649,576,2700,2166,5585,2017
,"Auckland, Nueva Zelanda",17251,10220,5438,6972,8390,1009,3987,2857,8479,2017
,"Toronto, Canadá",17172,11594,6506,7259,7030,850,4237,4148,7035,2017
,"Gdansk, Polonia",17153,7208,6878,6288,3906,1007,2635,3103,6982,2017
,"Reikiavik, Islandia",17092,7742,7592,6679,11159,637,2062,1196,4453,2017
,"Fráncfort del Óder, Alemania",17060,11494,6089,7149,7521,887,2758,3727,5625,2017
,"Mangalore, India",16952,10645,8249,7877,2192,515,3086,1845,-1712,2017
,"Calgary, Canadá",16910,11666,6715,6955,7521,570,3709,2465,3353,2017
,"Hamburgo, Alemania",16870,10688,5201,8292,7576,956,3381,2752,5348,2017
,"Liubliana, Eslovenia",16845,7223,7593,6443,5874,1148,2570,2753,6050,2017
,"Oporto, Portugal",16769,6631,5614,7533,4872,927,3185,4052,8984,2017
,"Lisboa, Portugal",16753,6133,6694,6803,5047,1474,3427,3426,9426,2017
,"Rotterdam, Países Bajos",16680,10043,5908,7761,7192,583,3183,4074,5868,2017
,"Atlanta, Georgia, Estados Unidos",16655,14836,3519,6563,7609,274,3903,5460,7447,2017
,"Riad, Arabia Saudita",16653,14829,7919,7010,4779,238,4027,7106,3804,2017
,"Brno, República Checa",16642,7576,7151,7587,4116,1047,2618,4630,6535,2017
,"Tallin, Estonia",16557,6876,7698,6842,5137,1142,2852,2116,4456,2017
,"Las Vegas, Nevada, Estados Unidos",16512,14523,4420,6437,7163,241,3854,5011,5718,2017
,"Taipéi, Taiwán",16508,11979,8424,8469,6623,1563,3145,4774,3520,2017
,"Madrid, España",16494,8518,6854,7830,6049,1127,3809,5494,8862,2017
,"Zagreb, Croacia",16421,6714,7139,6805,4857,1112,3134,3635,7035,2017
,"Ciudad del Cabo, Sudáfrica",16383,8613,2907,7311,4405,620,4212,3995,9660,2017
,"San Francisco, California, Estados Unidos",16349,9676,4970,6860,9914,1211,3978,3629,9702,2017
,"Montreal, Canadá",16344,10316,6499,6193,7116,649,4091,3230,5523,2017
,"Phoenix, Arizona, Estados Unidos",16220,14653,4314,7311,6908,258,2917,6223,5048,2017
,"Houston, Texas, Estados Unidos",16136,15024,3731,7439,7540,193,4351,5712,5940,2017
,"Filadelfia, Pensilvania, Estados Unidos",16105,12965,4091,6990,8635,258,4171,5088,7079,2017
,"Praga, República Checa",16099,7662,7023,7089,4363,1425,3706,3762,6691,2017
,"Cluj-Napoca, Rumania",16081,5176,8091,6732,3681,1258,2921,3611,6269,2017
,"Estocolmo, Suecia",16024,10195,5422,6800,8342,1536,3935,1627,5544,2017
,"Seúl, Corea del Sur",16016,9086,7620,8696,7977,1782,3424,3748,5364,2017
,"Edmonton, Canadá",15883,11383,5929,7606,7274,556,3522,2760,1870,2017
,"Los Angeles, California, Estados Unidos",15863,12427,4533,6015,8067,570,4500,6209,9586,2017
,"Bratislava, Eslovaquia",15723,7094,7031,6325,4760,1139,3614,4190,7063,2017
,"Orlando Florida, Estados Unidos",15634,10749,4503,6422,7953,280,3970,3775,5771,2017
,"Abu Dabi, Emiratos Árabes Unidos",15588,13607,8449,5836,6596,481,2561,5450,601,2017
,"Dublín, Irlanda",15493,9900,4719,5107,7972,801,3687,3299,7138,2017
,"Mánchester, Reino Unido",15438,9700,4684,7671,6906,597,4189,5226,7407,2017
,"Mascate, Omán",15318,11941,7484,5812,5438,354,1520,4943,-57,2017
,"Chicago, Illinois, Estados Unidos",15201,12299,3461,6541,8451,355,4525,3978,5787,2017
,"Varsovia, Polonia",15161,7432,7385,6084,4079,1181,3859,4694,6236,2017
,"Timisoara, Rumania",15154,4971,7682,6304,3538,1196,2100,5868,7337,2017
,"Bania Luka, Bosnia y Herzegovina",15078,5123,7266,5171,3470,1283,2691,4831,7742,2017
,"Tel Aviv-Yafo, Israel",15017,9000,6867,7563,8011,1828,4019,5295,7856,2017
,"Salónica, Grecia",15011,5044,6611,6722,5588,911,2456,6296,8907,2017
,"Honolulu, Hawaii, Estados Unidos",14999,8556,6362,6551,9954,1001,3936,4290,7190,2017
,"Monterrey, México",14952,9105,4933,5882,3293,421,2720,6543,6586,2017
,"Bruselas, Bélgica",14819,9580,4548,7717,7585,749,3286,6496,7732,2017
,"Barcelona, España",14764,8310,6035,7299,6113,1178,3550,6943,8615,2017
,"Regina, Canadá",14549,11517,4662,6432,7210,475,2885,3649,1660,2017
,"Esmirna, Turquía",14419,5423,7343,7711,3614,828,4036,6483,6768,2017
,"Johannesburgo, Sudáfrica",14227,11167,2151,6011,4499,280,4644,7272,9260,2017
,"Novi Sad, Serbia",14185,3933,5498,4735,3427,1704,1845,4165,8115,2017
,"Oslo, Noruega",14177,10149,5120,7029,10693,1033,4044,2471,3176,2017
,"Durban, Sudáfrica",14095,9838,2142,4627,4094,275,3613,5570,7702,2017
,"Dubai, Emiratos Árabes Unidos",13971,11331,7924,6117,7146,580,3482,5595,1020,2017
,"Riga, Letonia",13949,5201,6268,5810,4920,1047,2895,3394,4304,2017
,"Cracovia (Cracovia), Polonia",13873,7394,6892,6319,3858,1113,3229,6886,6063,2017
,"Winnipeg, Canadá",13794,8799,4837,6641,7021,521,3215,4030,2837,2017
,"Curitiba, Brasil",13700,5073,3484,5700,4973,1181,3905,4338,9337,2017
,"Pune, India",13691,10345,5423,6569,2720,836,5002,7741,6511,2017
,"Vilna, Lituania",13671,5406,6756,6960,4724,1533,2976,2580,2064,2017
,"Iasi, Rumania",13659,4963,7467,6551,3387,1275,3460,6127,6173,2017
,"Tokio, Japón",13641,9860,8036,7551,9097,1988,4419,4380,3191,2017
,"Nueva York, Nueva York, Estados Unidos",13586,10000,5238,6506,10000,1295,4822,5935,8053,2017
,"Breslavia, Polonia",13525,6921,6436,5619,3837,973,4141,6026,6241,2017
,"Sofía, Bulgaria",13423,5721,5444,5396,3765,926,2987,6097,6985,2017
,"Medellín, Colombia",13390,3796,4927,7360,3391,1590,3500,6479,9603,2017
,"Turín, Italia",13375,8005,4504,6653,6501,1042,2900,7574,8203,2017
,"Budapest, Hungría",13289,5233,6136,5305,4390,1159,3584,5235,6649,2017
,"Guadalajara, México",13201,5043,4613,7838,2939,733,4857,7124,8480,2017
,"Doha, Catar",13131,11170,8343,6558,6902,636,3297,7394,926,2017
,"Miami, Florida, Estados Unidos",13087,9043,4611,5566,8622,664,4207,4006,4199,2017
,"Buenos Aires, Argentina",12999,5686,3889,7242,5474,1328,4371,6062,9067,2017
,"Hyderabad, India",12990,7408,6271,6955,2406,707,4036,8055,5370,2017
,"Ankara, Turquía",12954,6200,5715,7021,3733,700,3545,7346,5849,2017
,"Brasilia, Brasil",12905,4871,3548,4123,5606,1605,3031,3466,8171,2017
,"Milán, Italia",12881,7686,5281,7096,7681,1787,3762,6364,7550,2017
,"Belgrado, Serbia",12765,4031,6288,5558,3628,2124,3342,5853,8416,2017
,"París, Francia",12747,9540,4725,7271,8320,1682,4162,6846,7300,2017
,"Estambul, Turquía",12644,5518,4980,6969,4156,1182,5567,6582,8687,2017
,"Atenas, Grecia",12552,5130,4928,4976,5860,1031,3659,6746,9150,2017
,"Tiflis, Georgia",12439,3222,8004,5258,2799,1254,3910,7898,8157,2017
,"Ereván, Armenia",12418,3328,7082,5167,3460,1467,2889,6015,6187,2017
,"Santiago de Chile, Chile",12396,5632,4745,6280,5360,1125,3665,7772,8939,2017
,"Sarajevo, Bosnia y Herzegovina",12368,4890,5150,6302,3763,1297,2789,7045,6915,2017
,"Bucarest, Rumania",12298,5359,7108,5155,3854,1098,3782,7128,6102,2017
,"Londres, Reino Unido",12087,8332,5383,6926,8163,2780,4734,5572,7572,2017
,"Minsk, Bielorrusia",11958,3644,7865,5888,3473,1880,2796,4227,2007,2017
,"Coimbatore, India",11759,5161,6325,7273,2346,981,5169,6389,3834,2017
,"Bangalore, India",11734,9606,5274,6847,2706,809,5209,8298,4005,2017
,"Amán, Jordania",11682,4169,5520,7159,6180,840,5032,8157,8842,2017
,"Jeddah (Jiddah), Arabia Saudita",11429,11199,7122,5672,5007,347,4392,7894,-145,2017
,"Roma, Italia",11399,7241,4453,5835,7406,2304,4670,6663,9008,2017
,"Skopje, Macedonia del Norte",11213,3969,5568,6322,3453,1593,3430,8198,7554,2017
,"Montevideo, Uruguay",10887,3243,4427,6724,7016,2002,5178,5660,8908,2017
,"Ahmedabad, India",10674,6166,7125,7060,2596,889,3947,7232,47,2017
,"Almaty, Kazajistán",10582,4962,4973,6581,3267,1258,2660,7719,3730,2017
,"Porto Alegre, Brasil",10572,4752,2300,5618,5279,1357,4395,5955,7708,2017
,"Gurgaon, India",10478,11016,3754,7524,3140,785,4938,8865,1954,2017
,"Beirut, Líbano",10416,5184,5082,6772,6427,1505,3521,8737,6939,2017
,"Chiang Mai, Tailandia",10411,3238,6730,8671,4352,1710,2967,7762,3041,2017
,"Ciudad de México, México",10297,5817,3390,6686,3359,1003,5411,8802,7700,2017
,"Hong Kong, Hong Kong, China)",9445,8145,7932,6799,7996,3615,4222,6990,2973,2017
,"Bogotá, Colombia",9442,3669,3636,6523,3832,2108,4603,7414,7333,2017
,"Bakú, Azerbaiyán",9346,3062,7253,3588,2859,2006,3977,8669,6809,2017
,"Lviv, Ucrania",9289,2438,5913,5434,2429,2591,4470,5534,4368,2017
,"San Petersburgo, Rusia",9234,5013,5772,6132,4440,1466,5214,6239,2022,2017
,"Shanghái, China",9089,7416,6541,5896,5442,3262,4592,8726,5915,2017
,"Moscú, Rusia",8802,5738,5468,5734,4781,2081,5436,6288,2854,2017
,"Kiev (Kiev), Ucrania",8734,2990,4995,5339,2772,2349,3703,7191,4908,2017
,"Lahore, Pakistán",8722,4735,4887,5926,3229,1361,4029,8011,2754,2017
,"Lima, Perú",8718,4444,3173,5995,4301,1518,4538,8932,7116,2017
,"Singapur, Singapur",8650,9270,8342,6987,8241,2163,4339,3704,-7147,2017
,"Sao Paulo, Brasil",8567,4251,2781,5462,5786,1875,4610,8608,8734,2017
,"Teherán, Irán",8534,3985,4456,5224,4214,1529,5531,8722,7148,2017
,"Karachi, Pakistán",8503,4321,3582,5725,2861,852,4084,9529,5024,2017
,"El Cairo, Egipto",8251,2810,4409,4247,2276,1081,5241,9599,7559,2017
,"Chennai, India",8127,7947,5535,7425,2687,1257,4490,7879,-2993,2017
,"Delhi, India",8010,7784,3921,6585,2919,1477,5277,9293,2393,2017
,"Colombo, Sri Lanka",7893,2488,6813,7915,3825,2256,5647,5925,240,2017
,"Ekaterimburgo, Rusia",7786,5008,4880,6517,3875,1174,3333,7802,-893,2017
,"Pekín, China",7520,7092,5835,6609,4892,3375,5145,9330,4536,2017
,"Panamá, Panamá",7456,3514,5393,5791,6423,1242,3506,6558,-622,2017
,"Davao, Filipinas",6379,3560,7160,7190,3184,2592,3112,6005,-5427,2017
,"Río de Janeiro, Brasil",6066,4326,2213,3708,5811,1960,5692,7041,4816,2017
,"Yakarta, Indonesia",5740,4145,4722,6297,4843,1685,5725,8643,962,2017
,"Bangkok, Tailandia",5730,4907,5144,8216,4965,1945,5069,7228,-3599,2017
,"Calcuta, India",5220,5786,4889,5552,2653,1108,7162,8105,-2275,2017
,"Nairobi, Kenia",5010,2864,3611,5868,4240,5940,6260,7423,9157,2017
,"Bombay, India",5007,7197,5219,6335,3020,3290,6307,8755,-261,2017
,"Kuala Lumpur, Malasia",3505,8135,3041,6207,4285,894,4462,7557,-9464,2017
,"Ciudad Ho Chi Minh, Vietnam",3220,3245,4189,5244,4327,2165,3062,9464,-2799,2017
,"Manila, Filipinas",3141,4780,3908,6831,4043,1219,5759,9251,-4767,2017
,"Daca, Bangladés",2413,3859,3089,3888,3730,1486,6233,9535,-1049,2017
,"Caracas, Venezuela",0,299,1339,3573,3885,25408,4950,7737,9117,2017
,"Canberra, Australia",22132,13938,7882,8387,8090,623,2265,1389,8258,2018
,"Wellington, Nueva Zelanda",20839,11859,7008,7142,8087,587,2663,1186,9760,2018
,"Raleigh, Carolina del Norte, Estados Unidos",20838,13199,7188,7823,7140,295,3154,2050,8366,2018
,"Eindhoven, Países Bajos",20804,11987,7568,8676,7872,523,2794,2074,8533,2018
,"Zúrich, Suiza",20237,14270,8099,7474,14125,987,3559,1605,8216,2018
,"Ottawa, Canadá",20127,14532,7605,7285,6991,502,3548,1365,4446,2018
,"Brisbane, Australia",19829,13041,6513,8071,8217,681,4188,2308,9791,2018
,"San Diego, California, Estados Unidos",19712,14272,6605,7371,7701,522,3909,3353,9699,2018
,"Victoria, Canadá",19709,11252,6708,6818,7547,654,3207,1417,9252,2018
,"Luxemburgo, Luxemburgo",19515,12742,7136,7904,9537,1031,3488,2011,8275,2018
,"San Antonio, Texas, Estados Unidos",19482,15492,5267,7358,6092,192,2970,4142,8267,2018
,"Múnich, Alemania",19465,11819,8255,8385,8478,1497,3324,1871,7531,2018
,"Edimburgo, Reino Unido",19428,10425,6860,8078,7920,824,2477,2023,8401,2018
,"Adelaida, Australia",19368,11386,6574,7247,8602,551,3428,2114,9486,2018
,"Austin, Texas, Estados Unidos",19327,14039,6538,7463,7246,400,3864,3361,8265,2018
,"Copenhague, Dinamarca",19290,11331,7843,7381,9762,837,3076,2340,8384,2018
,"Columbus, Ohio, Estados Unidos",19130,12547,5490,7019,6913,240,2563,2438,7193,2018
,"Dallas, Texas, Estados Unidos",19108,16237,5483,6712,6594,244,3761,4184,8278,2018
,"Perth, Australia",19000,13038,5607,7576,8624,624,3897,2687,9529,2018
,"Ginebra, Suiza",18965,13096,7353,7015,13483,1023,2405,2869,8189,2018
,"Cork, Irlanda",18909,10557,7081,6051,8289,628,3547,1587,9041,2018
,"Viena, Austria",18860,9888,7738,7796,7864,1408,2603,1897,8035,2018
,"Portland, Oregon, Estados Unidos",18807,12557,5559,6635,7845,506,3142,2660,8956,2018
,"Seattle, Washington, Estados Unidos",18786,14460,5629,7081,8804,496,4478,3130,9169,2018
,"Sacramento, California, Estados Unidos",18776,13514,5219,7397,7875,364,2476,4244,9064,2018
,"Mangalore, India",18768,9453,7532,7805,2546,558,3361,2490,6756,2018
,"Helsinki, Finlandia",18675,11387,7558,7515,8777,1099,3600,1399,6133,2018
,"Mineápolis, Estados Unidos",18638,13108,5088,8101,8146,292,3300,2022,5146,2018
,"Tucson, Arizona, Estados Unidos",18600,13807,4738,5927,6300,234,3313,2345,7266,2018
,"Melbourne, Australia",18584,12715,5764,7494,8515,903,3841,2779,9438,2018
,"Calgary, Canadá",18567,14639,6760,7346,7644,445,3689,2501,3341,2018
,"Cincinnati, Ohio, Estados Unidos",18435,13692,5176,7123,6913,208,3313,3548,7324,2018
,"Reikiavik, Islandia",18406,8895,7822,6628,12378,695,2352,1386,6955,2018
,"Gotemburgo, Suecia",18385,11210,5813,6879,8438,1067,2094,2023,7648,2018
,"Fráncfort del Óder, Alemania",18357,14276,5446,6894,8165,785,2666,4058,8418,2018
,"Ámsterdam, Países Bajos",17920,10170,6633,7241,8914,989,2758,3010,8717,2018
,"Salt Lake City, Utah, Estados Unidos",17886,14860,7379,6955,6676,352,3607,5903,6687,2018
,"Sídney, Australia",17860,11881,6176,7465,9077,1114,4339,3010,9695,2018
,"Rotterdam, Países Bajos",17783,10203,6364,8144,8264,616,3007,4089,8802,2018
,"Albuquerque, Nuevo México, Estados Unidos",17722,12357,3194,6823,6573,273,2974,2070,6751,2018
,"Hamburgo, Alemania",17603,11606,4889,7920,8075,879,3296,3137,8321,2018
,"Mascate, Omán",17531,10355,7207,6030,5120,455,2016,4339,6722,2018
,"Abu Dabi, Emiratos Árabes Unidos",17514,13124,8637,6203,6497,500,2867,5123,4389,2018
,"San José, California, Estados Unidos",17479,13482,5339,7041,8287,674,3312,5112,9502,2018
,"Leeds, Reino Unido",17467,10959,5945,8085,7492,621,3225,4457,8492,2018
,"Edmonton, Canadá",17439,13193,5828,7602,7601,426,3500,2613,2658,2018
,"Orlando Florida, Estados Unidos",17379,12902,4330,6180,7663,263,3803,3654,8844,2018
,"Valencia, España",17270,9071,5785,8344,6033,707,3200,4237,9437,2018
,"Bursa, Turquía",17270,5563,8027,8193,4026,587,3678,3758,9264,2018
,"Berlín, Alemania",17232,11409,5903,7530,7432,960,3231,4132,8335,2018
,"Denver, Colorado, Estados Unidos",17163,13010,6222,7038,7731,444,3743,4163,5689,2018
,"Boston, Massachusetts, Estados Unidos",17098,10135,6714,7695,8705,1033,4583,2396,7203,2018
,"Taipéi, Taiwán",17083,10490,8054,8342,7239,1780,3297,4846,8719,2018
,"Halifax, Canadá",17056,9570,5723,7466,8203,540,3221,2422,5899,2018
,"Auckland, Nueva Zelanda",17018,9937,5377,7276,8693,1109,4057,2821,9995,2018
,"Vancouver, Canadá",16941,9677,6404,7273,7559,1602,4125,2502,9143,2018
,"Tallin, Estonia",16930,7402,7954,6916,6051,991,3686,2183,6361,2018
,"Atlanta, Georgia, Estados Unidos",16822,15377,3501,6442,7497,255,4651,4974,8974,2018
,"Liubliana, Eslovenia",16819,7470,7503,6524,6547,1231,2785,2693,7630,2018
,"Tokio, Japón",16807,10642,8314,7903,9381,1378,4364,4687,8564,2018
,"Montreal, Canadá",16759,12029,6660,6242,6918,644,3929,3443,5150,2018
,"Houston, Texas, Estados Unidos",16714,14538,3914,7212,7037,228,4325,5577,8608,2018
,"Hamilton, Canadá",16624,12271,5501,8237,6526,686,3676,4847,6235,2018
,"Las Vegas, Nevada, Estados Unidos",16566,14881,4483,5695,7097,225,3120,5057,5880,2018
,"Dubai, Emiratos Árabes Unidos",16559,12371,8097,6427,7258,466,3825,5370,5027,2018
,"Estocolmo, Suecia",16416,10820,5242,6761,9085,1556,3898,1719,6967,2018
,"Washington D. C., Estados Unidos",16331,12062,4250,7041,9194,544,4388,3822,8311,2018
,"Toronto, Canadá",16256,10683,6460,7434,7522,1066,4259,3773,6725,2018
,"Baltimore, Maryland, Estados Unidos",16254,11679,2976,8229,7657,254,3637,4695,8314,2018
,"Brno, República Checa",16192,7386,7162,7636,5029,1192,2668,4415,7725,2018
